Row,ID,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,LatencyToFreeze,TimeFrozen,TimesFlipped,Observer,DaysSinceEmerge
51,322,F,1,5/18/2021,3,730,18.2,74,222,41,0,AMR,1
52,323,F,1,5/18/2021,3,735,18.3,73,9,24,0,AMR,1
58,354,F,1,5/18/2021,3,870,19.1,74,300,0,0,AMR,1
59,355,F,1,5/18/2021,3,877,18.6,75,8,292,0,AMR,1
60,357,F,1,5/18/2021,3,884,18.9,75,1,299,0,AMR,1
61,356,F,1,5/18/2021,3,890,19.4,75,80,220,0,AMR,1
62,358,F,1,5/18/2021,3,897,19.7,74,27,50,0,AMR,1
63,359,F,1,5/18/2021,3,898,19.8,74,300,0,0,AMR,1
64,360,F,1,5/18/2021,3,904,19.9,74,0,20,0,AMR,1
65,361,F,1,5/18/2021,3,905,19.9,74,14,30,0,AMR,1
75,336,F,1,5/18/2021,3,1084,20.5,74,13,16,0,AMR,1
76,337,F,1,5/18/2021,3,1090,20.9,73,1,126,0,AMR,1
77,338,F,1,5/18/2021,3,1095,21.1,73,0,300,0,AMR,1
78,339,F,1,5/18/2021,3,1100,21.2,72,164,136,0,AMR,1
79,340,F,1,5/18/2021,3,1105,21.4,72,258,43,0,AMR,1
80,341,F,1,5/18/2021,3,1112,21.4,72,7,64,0,AMR,1
81,330,F,1,5/18/2021,3,1115,21.5,72,2,58,0,AMR,1
82,331,F,1,5/18/2021,3,1116,21.5,72,18,97,0,AMR,1
83,332,F,1,5/18/2021,3,1118,21.5,72,20,67,0,AMR,1
84,333,F,1,5/18/2021,3,1120,21.5,72,79,60,0,AMR,1
85,334,F,1,5/18/2021,3,1123,21.5,72,38,38,0,AMR,1
86,335,F,1,5/18/2021,3,1124,21.5,72,3,60,0,AMR,1
87,346,F,1,5/18/2021,3,1127,21.6,72,300,0,0,AMR,1
88,345,F,1,5/18/2021,3,1132,21.6,72,45,29,0,AMR,1
89,347,F,1,5/18/2021,3,1134,21.6,72,3,20,0,AMR,1
90,351,F,1,5/18/2021,3,1137,21.7,72,44,26,0,AMR,1
91,353,F,1,5/18/2021,3,1139,21.7,72,31,73,0,AMR,1
92,350,F,1,5/18/2021,3,1141,21.7,72,69,31,0,AMR,1
93,342,F,1,5/18/2021,3,1143,21.7,72,12,21,0,AMR,1
94,352,F,1,5/18/2021,3,1144,21.8,72,24,24,0,AMR,1
95,348,F,1,5/18/2021,3,1145,21.8,72,300,0,0,AMR,1
96,344,F,1,5/18/2021,3,1150,21.8,72,276,24,0,AMR,1
97,370,F,1,5/18/2021,3,1156,21.8,72,273,27,0,AMR,1
98,343,F,1,5/18/2021,3,1161,21.9,72,145,155,0,AMR,1
99,349,F,1,5/18/2021,3,1167,21.9,72,11,11,0,AMR,1
100,371,F,1,5/18/2021,3,1168,21.9,72,9,110,0,AMR,1
101,362,F,1,5/18/2021,3,1170,21.9,72,7,293,0,AMR,1
154,374,F,1,5/19/2021,4,612,20.7,70,40,260,0,AMR,1
155,375,F,1,5/19/2021,4,617,20.5,70,12,165,0,AMR,1
156,376,F,1,5/19/2021,4,621,20.4,70,1,217,0,AMR,1
157,372,F,1,5/19/2021,4,625,20.4,70,213,50,0,AMR,1
158,373,F,1,5/19/2021,4,630,20.4,71,3,78,0,AMR,1
173,377,F,1,5/19/2021,4,715,20.4,71,3,93,0,AMR,1
174,378,F,1,5/19/2021,4,720,20.4,71,237,63,0,AMR,1
175,379,F,1,5/19/2021,4,726,20.4,71,117,183,0,AMR,1
176,380,F,1,5/19/2021,4,731,20.5,71,182,21,1,AMR,1
177,381,F,1,5/19/2021,4,734,20.5,71,73,20,0,AMR,1
184,382,F,1,5/19/2021,4,765,20.5,71,1,19,0,AMR,1
185,383,F,1,5/19/2021,4,767,20.5,71,300,0,0,AMR,1
186,384,F,1,5/19/2021,4,772,20.5,71,2,298,0,AMR,1
187,385,F,1,5/19/2021,4,777,20.6,71,0,300,0,AMR,1
188,387,F,1,5/19/2021,4,783,20.7,71,40,22,0,AMR,1
189,388,F,1,5/19/2021,4,785,20.7,71,2,107,0,AMR,1
190,389,F,1,5/19/2021,4,789,20.7,71,119,14,0,AMR,1
191,386,F,1,5/19/2021,4,791,20.8,71,172,26,8,AMR,1
203,397,F,1,5/19/2021,4,930,21.4,70,231,69,0,AMR,1
204,398,F,1,5/19/2021,4,936,21.5,70,211,14,1,AMR,1
205,399,F,1,5/19/2021,4,940,21.5,70,0,300,0,AMR,1
206,400,F,1,5/19/2021,4,946,21.5,70,7,293,0,AMR,1
207,401,F,1,5/19/2021,4,952,21.5,70,210,90,1,AMR,1
208,396,F,1,5/19/2021,4,959,21.5,70,0,171,0,AMR,1
215,390,F,1,5/19/2021,4,984,21.8,69,300,0,1,AMR,1
216,391,F,1,5/19/2021,4,989,21.8,69,97,24,0,AMR,1
217,392,F,1,5/19/2021,4,991,21.8,69,300,0,0,AMR,1
218,393,F,1,5/19/2021,4,997,21.8,69,3,203,0,AMR,1
219,394,F,1,5/19/2021,4,1001,21.9,69,4,20,0,AMR,1
220,395,F,1,5/19/2021,4,1002,21.9,70,55,41,0,AMR,1
225,402,F,1,5/19/2021,4,1132,23.3,66,133,167,1,AMR,1
277,401,F,2,5/20/2021,5,717,21.4,67,92,106,0,AMR,2
278,391,F,2,5/20/2021,5,721,21.5,67,81,219,0,AMR,2
279,373,F,2,5/20/2021,5,727,21.6,67,10,46,0,AMR,2
280,382,F,2,5/20/2021,5,728,21.6,67,2,283,0,AMR,2
281,372,F,2,5/20/2021,5,734,21.6,67,127,25,0,AMR,2
282,375,F,2,5/20/2021,5,739,21.7,67,3,297,0,AMR,2
283,380,F,2,5/20/2021,5,766,21.8,67,111,15,4,AMR,2
284,378,F,2,5/20/2021,5,770,21.8,67,7,152,0,AMR,2
285,397,F,2,5/20/2021,5,774,21.8,68,224,76,0,AMR,2
286,377,F,2,5/20/2021,5,780,21.8,68,4,205,0,AMR,2
287,388,F,2,5/20/2021,5,786,21.9,68,5,98,0,AMR,2
288,396,F,2,5/20/2021,5,790,21.9,68,3,142,0,AMR,2
289,395,F,2,5/20/2021,5,793,21.9,68,12,263,0,AMR,2
290,379,F,2,5/20/2021,5,799,22,68,189,31,8,AMR,2
299,402,F,2,5/20/2021,5,445,15.9,62,2,298,0,SK,2
300,387,F,2,5/20/2021,5,460,16.3,66,6,18,0,SK,2
301,374,F,2,5/20/2021,5,468,16.6,64,145,27,0,SK,2
302,376,F,2,5/20/2021,5,474,16.8,63,5,169,0,SK,2
303,393,F,2,5/20/2021,5,478,16.8,62,4,296,0,SK,2
304,384,F,2,5/20/2021,5,485,16.9,62,0,300,0,SK,2
305,7,F,2,5/20/2021,5,492,17,62,14,58,0,SK,4
306,389,F,2,5/20/2021,5,495,17.1,62,300,0,0,SK,2
307,392,F,2,5/20/2021,5,501,17.2,62,300,0,0,SK,2
308,386,F,2,5/20/2021,5,508,17.5,64,300,0,12,SK,2
309,400,F,2,5/20/2021,5,517,17.5,65,6,38,0,SK,2
310,399,F,2,5/20/2021,5,520,17.6,63,2,169,0,SK,2
311,383,F,2,5/20/2021,5,527,17.9,64,300,0,0,SK,2
312,8,F,2,5/20/2021,5,533,18.1,65,4,26,0,SK,4
318,381,F,2,5/20/2021,5,566,18.8,70,7,75,0,SK,2
319,390,F,2,5/20/2021,5,569,19,70,5,295,0,SK,2
320,394,F,2,5/20/2021,5,575,19.4,70,20,36,0,SK,2
321,385,F,2,5/20/2021,5,577,19.5,71,14,28,0,SK,2
322,398,F,2,5/20/2021,5,584,19.8,72,4,296,0,SK,2
360,390,F,3,5/21/2021,6,720,22.2,62,13,15,0,AMR,3
361,393,F,3,5/21/2021,6,722,22.2,62,257,43,2,AMR,3
362,397,F,3,5/21/2021,6,729,22.3,63,45,255,0,AMR,3
363,402,F,3,5/21/2021,6,735,22.3,63,2,48,0,AMR,3
364,398,F,3,5/21/2021,6,736,22.3,63,7,229,0,AMR,3
365,373,F,3,5/21/2021,6,749,22.4,63,3,63,0,AMR,3
366,7,F,3,5/21/2021,6,751,22.4,63,246,54,0,AMR,5
367,387,F,3,5/21/2021,6,757,22.4,63,9,21,0,AMR,3
368,379,F,3,5/21/2021,6,758,22.4,63,276,18,1,AMR,3
369,394,F,3,5/21/2021,6,764,22.4,63,29,58,0,AMR,3
370,399,F,3,5/21/2021,6,769,22.4,63,7,293,0,AMR,3
374,382,F,3,5/21/2021,6,813,22.6,60,300,0,1,AMR,3
375,378,F,3,5/21/2021,6,818,22.7,59,23,277,1,AMR,3
376,375,F,3,5/21/2021,6,828,22.7,59,124,23,0,AMR,3
377,385,F,3,5/21/2021,6,833,22.7,59,16,16,0,AMR,3
378,372,F,3,5/21/2021,6,837,22.8,59,300,0,0,AMR,3
379,389,F,3,5/21/2021,6,848,22.8,59,99,13,1,AMR,3
380,391,F,3,5/21/2021,6,852,22.8,59,107,16,0,AMR,3
381,374,F,3,5/21/2021,6,858,22.8,59,48,252,0,AMR,3
382,377,F,3,5/21/2021,6,869,22.9,59,163,10,0,AMR,3
383,395,F,3,5/21/2021,6,876,22.9,59,45,72,0,AMR,3
384,396,F,3,5/21/2021,6,912,23.4,59,19,22,0,AMR,3
385,400,F,3,5/21/2021,6,914,23.4,59,300,0,0,AMR,3
386,384,F,3,5/21/2021,6,921,23.4,59,89,71,0,AMR,3
387,381,F,3,5/21/2021,6,924,23.4,59,213,16,2,AMR,3
388,401,F,3,5/21/2021,6,929,23.4,59,169,9,3,AMR,3
389,388,F,3,5/21/2021,6,939,23.5,59,173,23,0,AMR,3
390,380,F,3,5/21/2021,6,943,23.5,59,197,16,4,AMR,3
391,8,F,3,5/21/2021,6,947,23.5,59,4,50,0,AMR,5
392,386,F,3,5/21/2021,6,949,23.6,59,300,0,22,AMR,3
393,376,F,3,5/21/2021,6,955,23.6,59,9,18,0,AMR,3
423,387,F,4,5/25/2021,10,817,25.6,57,300,0,0,AMR,7
424,374,F,4,5/25/2021,10,822,25.7,57,23,138,0,AMR,7
425,377,F,4,5/25/2021,10,827,25.8,56,73,95,0,AMR,7
426,375,F,4,5/25/2021,10,832,25.9,57,261,13,3,AMR,7
427,8,F,4,5/25/2021,10,837,25.8,56,2,17,0,AMR,9
428,382,F,4,5/25/2021,10,844,25.8,56,80,14,0,AMR,7
429,389,F,4,5/25/2021,10,848,25.8,56,164,13,1,AMR,7
430,380,F,4,5/25/2021,10,852,25.8,56,256,19,13,AMR,7
431,385,F,4,5/25/2021,10,858,26,56,11,17,0,AMR,7
432,399,F,4,5/25/2021,10,864,26,55,4,296,0,AMR,7
433,386,F,4,5/25/2021,10,870,26.1,55,103,8,8,AMR,7
434,398,F,4,5/25/2021,10,884,26.1,55,0,300,0,AMR,7
481,557,F,1,5/27/2021,12,830,23.8,69,24,57,1,AMR,3
558,557,F,2,5/28/2021,13,1150,20.5,63,5,15,0,AMR,4
