Row,ID,Sex,Assay,Date,DaysSinceMay15,Time,Temp,Humidity,Leave,Quadrats,Trans,Sides,DaysSinceEmerge
66,107,M,3,5/24/2021,9,568,23.3,61,3,8,7,3,6
67,134,M,3,5/24/2021,9,574,23.5,61,300,1,0,1,6
68,128,M,3,5/24/2021,9,580,23.8,61,300,1,0,1,6
69,104,M,3,5/24/2021,9,586,23.8,61,4,13,12,5,6
70,133,M,3,5/24/2021,9,595,23.9,61,68,2,1,1,6
71,129,M,3,5/24/2021,9,602,24.1,61,2,2,1,1,6
72,145,M,3,5/24/2021,9,608,24.2,61,6,2,1,1,6
73,125,M,3,5/24/2021,9,614,24.4,61,6,2,1,1,6
74,120,M,3,5/24/2021,9,621,24.6,60,3,6,5,2,6
75,109,M,3,5/24/2021,9,629,24.6,60,8,8,7,3,6
76,119,M,3,5/24/2021,9,635,24.7,60,300,1,0,1,6
77,121,M,3,5/24/2021,9,641,24.7,60,300,1,0,1,6
78,102,M,3,5/24/2021,9,652,24.8,60,47,6,5,3,6
79,122,M,3,5/24/2021,9,658,24.8,60,3,9,15,4,6
80,135,M,3,5/24/2021,9,664,24.9,60,3,8,7,3,6
81,112,M,3,5/24/2021,9,670,25,60,3,11,12,4,6
82,111,M,3,5/24/2021,9,695,25.1,60,4,10,9,3,6
83,99,M,3,5/24/2021,9,702,25.2,60,4,9,8,4,6
84,127,M,3,5/24/2021,9,711,25.2,59,2,9,8,3,6
85,126,M,3,5/24/2021,9,718,25.3,59,2,4,3,2,6
86,110,M,3,5/24/2021,9,727,25.4,59,2,12,21,4,6
87,115,M,3,5/24/2021,9,736,25.4,59,134,3,2,1,6
88,103,M,3,5/24/2021,9,742,25.4,58,5,2,1,1,6
89,136,M,3,5/24/2021,9,748,25.5,58,3,5,4,2,6
90,124,M,3,5/24/2021,9,755,25.5,57,300,1,0,1,6
91,116,M,3,5/24/2021,9,763,25.5,57,2,7,6,3,6
92,130,M,3,5/24/2021,9,769,25.5,57,300,1,0,1,6
93,101,M,3,5/24/2021,9,774,25.5,56,300,1,0,1,6
94,146,M,3,5/24/2021,9,780,25.5,56,5,11,11,5,6
95,137,M,3,5/24/2021,9,788,25.6,56,4,6,5,2,6
96,107,M,4,5/27/2021,12,1086,25.3,64,5,10,12,4,9
97,128,M,4,5/27/2021,12,1093,25.5,64,3,2,1,1,9
98,137,M,4,5/27/2021,12,1102,25.8,62,3,5,4,2,9
99,146,M,4,5/27/2021,12,1111,25.9,61,4,10,9,4,9
100,121,M,4,5/27/2021,12,1126,26,61,218,2,1,1,9
101,135,M,4,5/27/2021,12,1133,26.1,61,2,8,7,3,9
102,136,M,4,5/27/2021,12,1138,26.1,61,5,4,3,2,9
103,102,M,4,5/27/2021,12,1144,26.1,60,286,3,2,1,9
104,109,M,4,5/27/2021,12,1151,26.1,60,6,8,8,2,9
105,103,M,4,5/27/2021,12,1159,26.1,60,4,4,3,2,9
106,123,M,2,5/27/2021,12,1167,26.1,60,120,4,4,1,9
107,536,M,1,5/28/2021,13,469,22.6,68,4,10,9,3,5
108,570,M,1,5/28/2021,13,476,22.8,68,176,3,2,2,3
109,594,M,1,5/28/2021,13,482,22.8,68,300,1,0,1,3
110,514,M,1,5/28/2021,13,488,22.8,68,8,4,3,2,5
111,525,M,1,5/28/2021,13,494,22.9,67,5,2,1,1,5
112,537,M,1,5/28/2021,13,500,22.9,67,10,2,1,1,5
113,550,M,1,5/28/2021,13,507,22.9,67,2,2,1,1,4
114,554,M,1,5/28/2021,13,513,22.9,67,107,3,2,1,4
115,588,M,1,5/28/2021,13,518,23,67,6,5,4,2,3
116,548,M,1,5/28/2021,13,525,23.1,67,3,9,8,3,4
117,579,M,1,5/28/2021,13,532,23.1,67,300,1,0,1,3
118,504,M,1,5/28/2021,13,539,23.1,67,2,4,3,2,5
119,553,M,1,5/28/2021,13,554,23.1,67,1,8,7,3,4
120,510,M,1,5/28/2021,13,561,23.1,67,1,5,4,2,5
121,610,M,1,5/28/2021,13,567,23.1,67,300,1,0,1,5
122,533,M,1,5/28/2021,13,573,23.1,67,4,2,1,1,5
123,572,M,1,5/28/2021,13,580,23.1,67,5,3,2,2,3
124,526,M,1,5/28/2021,13,586,23.1,67,300,1,0,1,5
125,517,M,1,5/28/2021,13,592,23.1,67,2,5,4,3,5
126,591,M,1,5/28/2021,13,598,23.1,67,300,1,0,1,3
127,507,M,1,5/28/2021,13,604,23.1,67,4,2,1,1,5
128,563,M,1,5/28/2021,13,610,23.1,67,300,1,0,1,3
129,567,M,1,5/28/2021,13,617,23.1,68,300,1,0,1,3
130,541,M,1,5/28/2021,13,626,23.1,69,8,8,7,3,5
131,571,M,1,5/28/2021,13,632,23.1,69,3,4,3,2,3
132,559,M,1,5/28/2021,13,640,23.1,69,112,5,4,2,4
133,583,M,1,5/28/2021,13,660,23,70,3,6,5,2,3
134,534,M,1,5/28/2021,13,666,23,70,82,7,7,3,5
135,575,M,1,5/28/2021,13,671,23.1,71,3,8,7,4,3
136,587,M,1,5/28/2021,13,679,23.1,71,5,7,6,3,3
137,556,M,1,5/28/2021,13,685,23,71,300,1,0,1,4
138,522,M,1,5/28/2021,13,691,23,71,29,5,4,2,5
139,512,M,1,5/28/2021,13,702,22.9,71,4,6,5,3,5
140,673,M,1,5/28/2021,13,711,23,71,4,6,5,2,4
141,580,M,1,5/28/2021,13,717,23,72,4,3,2,1,3
142,500,M,1,5/28/2021,13,724,23,72,11,13,16,5,5
143,565,M,1,5/28/2021,13,731,23,72,49,6,5,3,3
144,542,M,1,5/28/2021,13,737,23,72,55,3,2,1,5
145,535,M,1,5/28/2021,13,743,23.1,72,3,8,7,3,5
146,555,M,1,5/28/2021,13,749,23.1,72,3,7,6,3,4
147,506,M,1,5/28/2021,13,754,23.1,71,300,1,0,1,5
149,650,M,1,5/28/2021,13,766,23.1,71,300,1,0,1,5
150,577,M,1,5/28/2021,13,771,23.1,71,1,8,7,4,3
151,569,M,1,5/28/2021,13,780,23.1,71,3,2,1,1,3
152,520,M,1,5/28/2021,13,786,23.1,71,5,13,14,5,5
153,544,M,1,5/28/2021,13,792,23.1,71,17,2,1,1,5
154,578,M,1,5/28/2021,13,798,23.1,71,300,1,0,1,3
155,586,M,1,5/28/2021,13,803,23.1,71,300,1,0,1,3
156,574,M,1,5/28/2021,13,836,22.9,71,4,12,12,4,3
157,531,M,1,5/28/2021,13,842,22.9,71,6,7,6,3,5
158,576,M,1,5/28/2021,13,848,23,71,300,1,0,1,3
159,540,M,1,5/28/2021,13,853,23.1,71,3,3,2,2,5
160,582,M,1,5/28/2021,13,859,23.1,70,300,1,0,1,3
161,630,M,1,5/28/2021,13,865,23.2,70,49,8,7,3,5
162,593,M,1,5/28/2021,13,870,23.2,70,300,1,0,1,3
163,527,M,1,5/28/2021,13,876,23.3,70,76,6,7,3,5
164,502,M,1,5/28/2021,13,883,23.3,70,300,1,0,1,5
165,518,M,1,5/28/2021,13,889,23.4,70,5,6,5,2,5
166,508,M,1,5/28/2021,13,895,23.3,70,300,1,0,1,5
167,546,M,1,5/28/2021,13,900,23.3,70,2,8,7,3,4
168,539,M,1,5/28/2021,13,906,23.2,69,300,1,0,1,5
169,501,M,1,5/28/2021,13,912,23.2,69,4,3,2,1,5
170,524,M,1,5/28/2021,13,918,23.1,68,4,14,15,5,5
171,564,M,1,5/28/2021,13,924,23.1,68,4,8,7,4,3
172,592,M,1,5/28/2021,13,929,23.1,67,44,13,12,5,3
173,566,M,1,5/28/2021,13,936,23,67,276,3,4,2,3
174,566,M,2,5/29/2021,14,790,16.1,57,6,5,4,1,4
175,630,M,2,5/29/2021,14,796,16.1,57,10,2,1,1,6
176,527,M,2,5/29/2021,14,802,16.1,57,96,4,3,2,6
177,524,M,2,5/29/2021,14,808,16.1,57,8,9,8,4,6
178,531,M,2,5/29/2021,14,815,16.1,57,300,1,0,1,6
179,592,M,2,5/29/2021,14,830,16.1,57,5,6,5,3,4
180,576,M,2,5/29/2021,14,837,16.1,57,300,1,0,1,4
181,593,M,2,5/29/2021,14,843,16.2,57,300,1,0,1,4
182,502,M,2,5/29/2021,14,849,16.2,57,300,1,0,1,6
183,501,M,2,5/29/2021,14,857,16.2,57,300,1,0,1,6
184,564,M,2,5/29/2021,14,861,16.2,57,5,4,3,2,4
185,574,M,2,5/29/2021,14,867,16.2,57,4,8,7,4,4
186,518,M,2,5/29/2021,14,873,16.2,57,255,3,2,1,6
187,508,M,2,5/29/2021,14,879,16.3,57,255,3,3,1,6
188,546,M,2,5/29/2021,14,886,16.3,57,3,4,3,2,5
189,540,M,2,5/29/2021,14,892,16.4,57,3,4,3,2,6
190,582,M,2,5/29/2021,14,900,16.4,57,6,5,4,2,4
191,517,M,2,5/29/2021,14,927,16.5,57,24,4,3,2,6
192,594,M,2,5/29/2021,14,933,16.5,57,16,6,5,2,4
193,588,M,2,5/29/2021,14,939,16.5,57,4,7,6,3,4
194,579,M,2,5/29/2021,14,945,16.6,57,300,1,0,1,4
195,572,M,2,5/29/2021,14,950,16.6,57,7,4,3,2,4
196,514,M,2,5/29/2021,14,956,16.6,57,15,5,4,2,6
197,567,M,2,5/29/2021,14,961,16.7,57,300,1,0,1,4
198,510,M,2,5/29/2021,14,967,16.7,57,300,1,0,1,6
199,504,M,2,5/29/2021,14,973,16.7,57,7,6,5,2,6
200,533,M,2,5/29/2021,14,979,16.8,57,10,5,4,2,6
201,559,M,2,5/29/2021,14,988,16.7,57,142,2,1,1,5
202,563,M,2,5/29/2021,14,994,16.7,57,300,1,0,1,4
203,537,M,2,5/29/2021,14,1000,16.7,57,300,1,0,1,6
204,553,M,2,5/29/2021,14,1006,16.7,57,5,8,7,3,5
205,554,M,2,5/29/2021,14,1012,16.8,57,300,1,0,1,5
206,570,M,2,5/29/2021,14,1018,16.8,57,300,1,0,1,4
207,571,M,2,5/29/2021,14,1023,16.8,57,300,1,0,1,4
208,507,M,2,5/29/2021,14,1029,16.8,57,6,7,7,2,6
209,525,M,2,5/29/2021,14,1034,16.8,57,88,5,4,2,6
210,591,M,2,5/29/2021,14,1040,16.9,57,300,1,0,1,4
211,506,M,2,5/29/2021,14,1058,16.9,57,300,1,0,1,6
212,583,M,2,5/29/2021,14,1064,16.9,57,68,3,3,1,4
213,586,M,2,5/29/2021,14,1070,16.9,57,300,1,0,1,4
214,500,M,2,5/29/2021,14,1077,16.9,57,9,6,5,2,6
215,650,M,2,5/29/2021,14,1084,17.2,58,22,4,3,2,6
216,522,M,2,5/29/2021,14,1090,17.2,58,51,4,3,2,6
217,555,M,2,5/29/2021,14,1095,17.3,57,9,7,6,2,5
218,534,M,2,5/29/2021,14,1104,17.4,57,39,8,7,2,6
219,580,M,2,5/29/2021,14,1135,17.1,57,216,4,3,2,4
220,520,M,2,5/29/2021,14,1142,17,57,4,11,11,3,6
221,535,M,2,5/29/2021,14,1148,17.1,57,62,9,8,3,6
222,512,M,2,5/29/2021,14,1154,17.2,57,6,5,4,2,6
223,577,M,2,5/29/2021,14,1160,17.2,57,16,6,5,3,4
224,575,M,2,5/29/2021,14,1166,17.2,57,7,8,7,4,4
225,569,M,2,5/29/2021,14,1173,17.3,57,300,1,0,1,4
227,673,M,2,5/29/2021,14,1184,17.4,57,77,6,6,2,5
228,542,M,2,5/29/2021,14,1190,17.4,57,55,3,2,1,6
229,556,M,2,5/29/2021,14,1196,17.4,57,3,9,8,4,5
230,587,M,2,5/29/2021,14,1202,17.4,57,3,9,8,3,4
231,544,M,2,5/29/2021,14,1209,17.5,57,98,5,4,3,6
232,578,M,2,5/29/2021,14,1217,17.3,57,300,1,0,1,4
233,522,M,3,6/2/2021,18,667,19.1,73,300,1,0,1,10
234,673,M,3,6/2/2021,18,678,19.2,74,5,5,4,2,9
235,99,M,4,6/2/2021,18,687,19.4,74,10,4,6,1,15
236,501,M,3,6/2/2021,18,699,19.4,74,300,1,0,1,10
237,570,M,3,6/2/2021,18,707,19.4,73,267,2,1,1,8
238,575,M,3,6/2/2021,18,728,19.3,73,28,3,2,1,8
239,107,M,5,6/2/2021,18,781,19.8,74,16,8,7,4,15
240,128,M,5,6/2/2021,18,788,19.8,74,4,8,7,3,15
241,508,M,3,6/2/2021,18,797,19.8,74,300,1,0,1,10
242,137,M,5,6/2/2021,18,803,19.9,75,3,6,5,2,15
243,533,M,3,6/2/2021,18,816,19.9,75,214,4,3,2,10
244,580,M,3,6/2/2021,18,830,20,75,9,2,1,1,8
245,559,M,3,6/2/2021,18,835,20,75,300,1,0,1,9
246,630,M,3,6/2/2021,18,841,20,75,14,10,16,2,10
247,572,M,3,6/2/2021,18,849,20.1,75,300,1,0,1,8
248,507,M,3,6/2/2021,18,857,20.1,75,3,7,6,2,10
249,594,M,3,6/2/2021,18,865,20.1,75,17,4,3,2,8
250,576,M,3,6/2/2021,18,871,20.1,74,78,4,4,2,8
251,520,M,3,6/2/2021,18,878,20.2,74,4,6,5,2,10
252,502,M,3,6/2/2021,18,883,20.2,74,263,2,1,1,10
253,506,M,3,6/2/2021,18,914,20.2,74,7,7,6,2,10
254,540,M,3,6/2/2021,18,925,20.4,75,7,4,3,2,10
255,115,M,4,6/2/2021,18,936,20.4,74,33,3,2,1,15
256,546,M,3,6/2/2021,18,952,20.5,74,31,8,8,2,9
257,574,M,3,6/2/2021,18,967,20.5,74,81,7,6,4,8
258,146,M,5,6/2/2021,18,975,20.6,74,10,5,4,2,15
259,593,M,3,6/2/2021,18,981,20.5,74,300,1,0,1,8
